COD_CARRERA_UNI,NOM_CARRERA_UNI
611125,Producción Pecuaria
611135,Producción y Gestión Pecuaria
611145,Riego Drenaje
611155,Tecnología Agrícola
612015,Administración de Recursos Forestales
612025,Forestal
612035,Forestal (para zona de selva)
613015,Acuicultura
711015,Anestesiología
711025,Paramédico
712015,Nutrición y Dietética
712025,Nutrición y Tecnología de los Alimentos
713015,Prótesis Dental
714015,Auxiliar de Enfermería
714025,Cuidados Auxiliares de Enfermería
714035,Enfermería Técnica
714045,Inyectables y Primeros Auxilios
715015,Fisioterapia y Rehabilitación
715025,Laboratorio Clínico
715035,Mantenimiento de Establecimientos de Salud
715045,Óptica
715055,Optometría
715065,Ortopedia
715075,Radiología
716015,Farmacia
717015,Obstetricia
811015,Conducción en Turismo
811025,Ecología Turística
811035,Guía Oficial de Caminata
811045,Guía Oficial de Montaña
811055,Guía Oficial de Turismo
811065,Información Turística
811075,Operaciones de Viajes
811085,Operaciones Hoteleras
811095,Promoción de Turismo 1/
811105,Turismo
811115,Viajes y Turismo
812015,Cosmética Dermatológica
11015,Armas Submarinas
11025,Artillería
11035,Capitanía y Guardacostas
11045,Defensa Aérea
11055,Fuerzas Especiales
11065,Infantería de Marina
11075,Inteligencia
11085,Maniobras
11095,Operaciones Especiales
11105,Policía Naval
11115,Seguridad e Instrucción Militar
11125,Sensores
21015,Administración y Ciencias Policiales
313014,Psicoterapia Psicoanalítica
321014,Producción Radial y Televisiva
322014,Locución y Comunicación de Radio y Televisión
323014,Operación de Equipos de Grabación y Mezcla
323024,Operación de Equipos de Radio y Televisión
323034,Operación de Sistemas de Difusión Sonora
332014,Administración de Hostelería
332024,Administración de Hoteles
332034,Administración de Restaurantes
332044,Administración Turística
332054,Aviación Comercial
332064,Bar y Cocteleria
332074,Cocina
332084,Cocina y Repostería
332094,Hostelería
332104,Pastelería
332114,Pastelería y Panadería
332124,Pastelería y Turismo
332134,Servicio de Restaurante y Bar
335014,Comercio Internacional
335024,Comercio y Producción
335034,Negocios - Comercio Internacional
335044,Negocios - Comercio y Producción
339014,Comercio
339024,Logística y Almacenes
342014,Contabilidad
441014,Administración de Base de Datos
441024,Administración de Redes
441034,Computación
441044,Mantenimiento de Equipo de Cómputo
441054,Operación de Computadoras
511014,Técnicas de Ingeniería de Sistemas de Información
522014,Confitería Industrial
522024,"Conservación de Carnes, Productos Hidrobiológicos y Vegetales"
522034,"Extracción de Aceites, Grasas y Azúcar"
522044,Industrias Lácteas
522054,Molinería y Procesamiento de Granos y Tubérculos
522064,Panadería y Pastelería Industrial
522074,Panificación
522084,"Producción Industrial de Vinos, Piscos y Otros Productos afines"
524014,Electricidad
524024,Electricidad Industrial
524034,Instalaciones Electrotécnicas
525014,Electrónica
525024,Electrónica de Consumo
525034,Equipos Electrónicos de Consumo
525044,Refrigeración y Aire Acondicionado
527014,Construcciones Metálicas
526024,Electromecánica
526034,Mantenimiento de Equipo Pesado
526044,Matricería
526054,Mecánica Automotriz
526064,Mecánica de Equipos Pesados
526074,Mecánica de Planta
526084,Mecánica de Producción
527024,Explotación de Minas
527034,Operaciones de Perforación
527044,Procesamiento de Minerales
527054,Secciones Delgadas y Pulidas
527064,Seguridad Minera e Industrial
528014,Confección de Calzado
528024,Confección Industrial
528034,Confección Textil
528044,Curtiembre y Peletería
528054,Industria del calzado
528064,Industria del Vestido
528074,Sastrería
528084,Tejido a Mano
528094,Tejido a Mano y a Máquina de Tejer
528104,Tejido a Máquina
528114,Tintorería y Acabado Textil
531014,Administración de la Construcción
531024,Albañilería
531034,Gasfitería
531044,Topografía
531054,Topografía Civil y Minera
534014,Mantenimiento Básico de Casa y Edificios
535014,Carpintería
535024,Carpintería y Ebanistería
535034,Ebanistería
591014,Navegación y Pesca
611014,Avicultura y Crianza de Animales Menores
611024,Caficultura Orgánica
611034,Jardinería y Floricultura
612014,Conservación y Aprovechamiento Racional de Recursos   Forestales
711014,Alto Riesgo
716014,Farmacia
811014,Guía de Turistas
812014,Cosmetología
812024,Peluquería
821014,Transportes Terrestres y Operación de Equipos Pesados
214013,Idioma
222013,Encuadernación
222023,Serigrafía
226013,Artesanía en Cerámica
226023,Artesanía en Cuero y Pieles
226033,Artesanía en Madera
226043,Artesanía en Metales
226053,Artesanía en Piedra Tallada
226063,Artesanía en Textiles
226073,Bisutería
226083,Decoración de Eventos
226093,Pintura
311013,Asistente Adulto Mayor
311023,Asistente de Niños
311033,Cuidado de Niños
311043,Cuidado de Niños y Ancianos
322013,Locución y Comunicación de Radio y TV
322023,Teleoperador de Call Center
332013,Asistencia de Panadería y Pastelería
332023,Asistencia en Cocina
332033,Barman
332043,Cocina (Alta Cocina)
332053,Cocina y Repostería
332063,Recepción Hostelera
332073,Repostería
332083,Servicio de Mesa
332093,Servicios Básicos de Hostelería
332103,Servicios Básicos de Recepción Hostelera
332113,Servicios Básicos de Turismo e Idiomas
332123,Servicios Hosteleros
332133,Técnicas de Recepción Hostelera
333013,Venta al Detalle en Tienda
337013,Secretariado Comercial
337023,Secretariado Computarizado
337033,Secretariado Ejecutivo Computarizado
339013,Asistente Administrativo Bilingüe
339023,Asistente Administrativo Castellano
422013,Procesos Químicos
441013,Asistente de Computación
441023,Asistente en el Manejo y Operación de Computadoras
441033,Computación
441043,Digitación
441053,Ensamblaje y Mantenimiento de Computadoras
441063,Instalación y Mantenimiento de Computadoras
441073,Mantenimiento de Equipo de Cómputo
441083,Mantenimiento de Equipos de Cómputo y Administración de Redes
441093,Ofimática
441103,Operación de Computadoras
441113,Operación de Programas de Computación e Informática
522013,Conservación y Semiconservación de Pescados y Mariscos
522023,Ganadería y Transformaciones Lácteas
522033,Matarife y Preparaciones Cárnicas Básicas
522043,Panadería y Pastelería
522053,Procesamiento de Frutas
522063,Procesamiento de Lácteos
523013,"Viticultura y Elaboración de Vinos, Pisco y Otros Productos Afines"
524013,Asistencia en Electricidad
524023,Electricidad
524033,Electricidad Automotriz
524043,Instalaciones Eléctricas
524053,Instalaciones Eléctricas y Electrónicas
524063,Instalaciones Electrotécnicas
524073,Instalaciones Internas y Artefactos Electrodomésticos
525013,Asistencia de Electrónica
525023,Electrónica
525033,Equipos Electrónicos de Audio
525043,Equipos Electrónicos de Consumo
525053,Reparación de Equipos Electrónicos de Consumo
526013,Carpintería Metálica
526023,Construcciones Metálicas
526033,Mantenimiento de Vehículos
526043,Mantenimiento de Vehículos Motorizados
526053,Mecánica Automotriz
526063,Mecánica de Banco
526073,Mecánica de Motores Menores
526083,Mecánica de Motos
526093,Mecánico Tornero
526103,Planchado y Pintura
526113,Rectificaciones Mecánicas
526123,Reparación de Motocicletas
526133,Soldadura
528013,Bordados a Maquina
528023,Bordados Computarizados y Manuales
528033,Confección de Calzado
528043,Confección Industrial
528053,Confección Textil
528063,Cuero y Calzado
528073,Estampado Computarizado y Manual
528083,Estampado Textil
528093,Hilandería Industrial
528103,Industria del Calzado
528113,Patronaje Industrial
528123,Sastrería
528133,Tapicería
528143,Tejido a Mano
528153,Tejido a Máquina
528163,Tejido a Telar
528173,Tejidos
528183,Tejidos y Bordados
528193,Textil
528203,Tintorería y Estampado Industrial
528213,Zapatería
531013,Vidriería
534013,Mantenimiento Básico de Casa y Edificios
535013,Carpintería
535023,Carpintería Metal y Madera
535033,Ebanistería
535043,Ebanistería y Tallados
611013,Agricultura de Costa
611023,Agricultura de Sierra
611033,Agricultura Orgánica
611043,Crianza de Animales Menores
611053,Cultivos Hidropónicos
611063,Jardinería
611073,Manejo de Ganado Vacuno
611083,Manejo de Instalaciones Hortofrutícolas
611093,Manejo de Maquinarias y Equipos Agrícolas
611103,Producción Agropecuaria
612013,Extracción y Transformación Primaria de Recursos Maderables en Selva
714013,Primeros Auxilios
719013,Podología
719023,Reflexología
812013,Cosmetología
812023,Cosmetología y Peluquería
812033,Peluquería
812043,Peluquería y Belleza Personal
821013,Conducción de Vehículos Motorizados y Mecánica Automotriz
821023,Conducción de Vehículos y Electricidad Básica
821033,Operador de Equipos Pesados
